	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
ANKRD16_-_5932023.23-P1P2	1496	1554	914	2757	7117	3420	165	1651	2982	2361
ANKRD17_+_74124717.23-P1P2	10478	10866	11247	21129	10434	11918	8119	25006	6417	8807
ANKRD17_-_74124645.23-P1P2	3100	3660	2788	8840	1972	2477	3146	9834	890	705
ANKRD17_-_74124660.23-P1P2	5267	5632	9528	8927	6127	6745	9838	6162	3438	5770
ANKRD17_-_74124672.23-P1P2	4449	4763	6151	10496	1491	2615	7888	6866	858	307
ANKRD17_-_74124746.23-P1P2	4428	4560	6770	1245	3646	663	8864	650	7609	418
ANKRD1_+_92680912.23-P1P2	3984	4274	1868	2917	5123	1984	1146	1117	5163	1426
ANKRD1_+_92680930.23-P1P2	2200	2136	385	2437	631	8761	173	1080	99	10594
ANKRD1_-_92680939.23-P1P2	8006	9094	14571	20615	8153	20400	14067	24980	8611	22669
ANKRD1_-_92681040.23-P1P2	4085	4164	3820	423	3090	915	2225	286	4177	1444
ANKRD1_-_92681068.23-P1P2	6830	8598	11504	3114	8657	4864	13898	1291	7154	4694
ANKRD22_+_90611827.23-P1P2	389	462	213	936	525	2	19	197	759	2
ANKRD22_+_90611898.23-P1P2	4077	4735	3721	2140	7640	650	1768	1300	7171	249
ANKRD22_-_90611687.23-P1P2	3218	3945	1367	4363	1052	2503	121	7111	654	1069
ANKRD22_-_90611709.23-P1P2	2989	3487	4881	2275	96	1040	5139	1154	43	257
ANKRD22_-_90611862.23-P1P2	3566	4208	7129	17816	569	8781	4721	16934	354	5958
ANKRD42_+_82904520.23-P1P2	4274	4803	3805	1444	1506	1107	2118	184	334	255
ANKRD42_+_82904697.23-P1P2	2828	2769	680	1116	3441	275	159	232	4331	140
ANKRD42_-_82904688.23-P1P2	5728	5402	6393	5492	8272	3876	5229	6484	11568	1741
ANKRD42_-_82904712.23-P1P2	3334	3747	5157	5038	2718	5014	5883	6790	1682	3992
ANKRD42_-_82904726.23-P1P2	3064	4278	6483	2049	1785	2648	4677	842	844	3853
ANKRD44_+_198051969.23-ENST00000450567.1	3360	3493	2966	2525	1381	1022	761	886	402	292
ANKRD44_+_198051973.23-ENST00000450567.1	5116	5702	4796	3771	3740	12369	2917	2832	8575	7798
ANKRD44_+_198052043.23-ENST00000450567.1	6481	7134	3503	5510	6479	6314	2319	1869	3114	4547
ANKRD44_+_198052058.23-ENST00000450567.1	3928	4411	5000	1352	8396	380	6359	677	2964	65
ANKRD44_+_198052197.23-ENST00000450567.1	3164	3323	4732	4123	5914	4349	6684	4702	6211	2234
ANKRD44_-_198062864.23-ENST00000328737.2	4432	5703	16062	39875	4943	4177	18301	12217	3639	4756
ANKRD44_-_198062941.23-ENST00000328737.2	5440	5425	6358	4751	8149	8107	6065	2894	5014	8812
ANKRD44_-_198062953.23-ENST00000328737.2	6015	5653	6177	9251	5690	1778	3905	11133	3600	615
ANKRD44_-_198062957.23-ENST00000328737.2	6171	6269	4403	10894	1746	3702	2184	9636	604	1803
ANKRD44_-_198063005.23-ENST00000328737.2	916	691	2081	435	929	8	1179	59	531	2
ANKRD46_+_101572089.23-P1P2	6693	7297	4486	2578	1458	8587	2871	1654	783	4329
ANKRD46_-_101571995.23-P1P2	3180	3343	3348	3242	14804	414	1959	1161	16532	172
ANKRD46_-_101572099.23-P1P2	2705	3543	2832	427	1622	2147	3983	64	447	1786
ANKRD46_-_101572128.23-P1P2	686	759	1147	540	1	319	935	18	3	53
ANKRD46_-_101572149.23-P1P2	2833	3826	2712	15014	2581	291	1907	27447	1456	41
ANKRD49_+_94226645.23-P1P2	3168	3658	1285	3387	3438	2027	1488	1383	1320	2101
ANKRD49_+_94227053.23-P1P2	5913	6086	12583	2197	6862	6102	11546	727	5655	6492
ANKRD49_+_94227075.23-P1P2	4712	5463	5184	1392	1100	3679	4959	1500	2844	7076
ANKRD49_-_94226994.23-P1P2	884	825	512	72	904	9	84	1	888	2
ANKRD49_-_94227092.23-P1P2	2423	3112	4181	10383	409	42788	7405	9521	161	33839
ANKRD54_+_38240411.23-P1P2	4317	4941	2512	2206	569	4129	2242	480	355	3550
ANKRD54_-_38240461.23-P1P2	1883	2074	1400	1843	3205	225	775	2997	1684	28
ANKRD54_-_38240465.23-P1P2	2322	3110	2463	883	890	73	1672	669	356	7
ANKRD54_-_38240480.23-P1P2	2393	2515	2050	5056	282	779	890	4670	22	318
ANKRD54_-_38240650.23-P1P2	3757	4233	7397	4729	1130	3904	7865	4760	492	4238
ANKRD6_+_90142739.23-P1P2	3026	4021	184	2022	1244	637	30	763	544	782
ANKRD6_+_90142747.23-P1P2	4390	5007	9186	2516	7310	8471	8499	1318	9199	6515
ANKRD6_+_90142758.23-P1P2	2927	3895	1238	567	699	122	276	122	317	14
ANKRD6_+_90142761.23-P1P2	3811	4554	692	589	75	112	311	64	8	9
ANKRD6_-_90142776.23-P1P2	4875	4567	3005	10749	1478	786	1715	8302	708	241
ANKS3_+_4784360.23-P1P2	4949	5860	2505	5574	1397	3282	868	4790	430	1750
ANKS3_+_4784370.23-P1P2	5420	5653	3461	2427	14973	1139	2074	913	16233	757
ANKS3_+_4784381.23-P1P2	3616	3598	3399	9954	2200	2964	2271	14648	1377	4000
ANKS3_-_4784284.23-P1P2	2816	3559	3825	1337	2407	1925	2787	322	766	1336
ANKS3_-_4784321.23-P1P2	2087	2342	817	1627	179	996	165	484	281	188
ANKZF1_+_220094473.23-P1P2	5864	6982	3931	7624	14021	6516	3329	4535	9430	5180
ANKZF1_-_220094287.23-P1P2	3107	3721	3243	885	2743	4942	711	509	2874	5190
ANKZF1_-_220094397.23-P1P2	2796	3092	5302	5055	3809	2260	3589	3515	11186	1571
ANKZF1_-_220094411.23-P1P2	2682	2640	995	2597	1003	6456	422	1155	395	2584
ANKZF1_-_220094454.23-P1P2	3420	4077	5346	6748	1925	1731	4399	2971	317	761
AP5Z1_+_4815133.23-P1P2	3593	4156	1833	10275	3104	715	725	11739	454	375
AP5Z1_+_4815168.23-P1P2	4155	4220	11583	6798	5362	4017	9673	5609	2799	1636
AP5Z1_-_4815138.23-P1P2	3803	3904	2654	4781	1336	2479	2619	2470	890	398
AP5Z1_-_4815181.23-P1P2	4592	5326	11161	7525	20946	3763	11810	6125	13381	1738
AP5Z1_-_4815278.23-P1P2	4826	4817	9413	1684	5794	3668	9898	571	11524	1318
APITD1_+_10490530.23-P1P2	3917	4577	2733	1248	2553	407	2037	396	1231	135
APITD1_+_10490540.23-P1P2	3562	4520	7771	3534	3248	2291	6131	3046	854	1970
APITD1_+_10490738.23-P1P2	8481	7899	13960	3861	5909	10251	13384	2885	4933	8485
APITD1_-_10490419.23-P1P2	4955	5081	3118	2532	9265	4028	830	1050	4682	7565
APITD1_-_10490580.23-P1P2	2537	3152	505	345	842	10	49	40	329	8
APLP2_+_129939493.23-P1P2	5637	6389	4475	3768	7271	3005	3705	3915	2779	2034
APLP2_+_129939711.23-P1P2	5208	6119	5495	14045	7250	7722	4404	13487	4777	5260
APLP2_-_129939621.23-P1P2	3066	3211	8365	5167	5819	2530	11620	5548	7325	814
APLP2_-_129939724.23-P1P2	3692	3883	5800	5331	6122	884	5232	2086	3963	626
APLP2_-_129939772.23-P1P2	932	1092	110	41	94	43	21	5	148	23
APOBEC3F_+_39436424.23-P1P2	4328	5306	3144	2882	3163	3689	2140	1134	3431	1624
APOBEC3F_+_39436636.23-P1P2	4890	4892	2955	8736	4849	5836	2723	10782	4718	7599
APOBEC3F_+_39436640.23-P1P2	6146	6733	39711	9833	13561	7348	129349	7383	17397	6370
APOBEC3F_-_39436361.23-P1P2	5240	5994	24989	1962	6914	11475	37233	831	8249	15529
APOBEC3F_-_39436647.23-P1P2	3803	5101	5489	2552	15329	3545	4862	3072	20567	958
ARHGEF10L_+_17866001.23-P1P2	3175	3766	2243	3439	4439	3332	3389	1353	6937	1046
