	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
AKNA_-_117160508.23-P2	6768	7759	7919	10765	6522	17623	5265	5720	2503	6964
AKNA_-_117160725.23-P2	5635	6469	4843	6665	8578	26434	3847	8120	16454	49330
AKTIP_+_53536638.23-P1P2	3253	4753	35	1155	974	744	5	538	613	194
AKTIP_+_53536913.23-P1P2	3359	4953	6879	8003	2477	9907	7463	3423	352	4904
AKTIP_+_53537018.23-P1P2	3905	5579	2064	6782	1339	9307	1340	2959	312	8376
AKTIP_+_53537028.23-P1P2	5861	6595	6397	3591	4329	8212	5447	2143	2433	3479
AKTIP_+_53537096.23-P1P2	5494	7064	13354	9212	4804	1967	14406	2923	7053	1233
ALKBH8_+_107436173.23-P1P2	4312	5145	5220	1385	1319	2021	5791	666	600	162
ALKBH8_+_107436193.23-P1P2	2819	3423	2718	388	899	475	2590	61	488	117
ALKBH8_+_107436381.23-P1P2	7042	8348	3781	3093	2588	1365	2190	681	1659	267
ALKBH8_+_107436405.23-P1P2	4830	5196	2277	5848	3919	3189	1082	11055	3163	3842
ALKBH8_-_107436413.23-P1P2	3912	4352	2383	859	3695	653	1074	288	2876	313
ALYREF_+_79849212.23-P1P2	3038	3351	1859	1643	2333	1751	1693	874	1514	329
ALYREF_+_79849261.23-P1P2	2106	2789	3488	1676	1170	1710	2270	637	1491	441
ALYREF_+_79849280.23-P1P2	3333	4066	8033	2362	3529	1990	6146	1173	2493	654
ALYREF_-_79849452.23-P1P2	2401	2675	3221	477	1870	489	3631	65	619	221
ALYREF_-_79849458.23-P1P2	3274	4364	351	1112	723	1361	55	849	230	364
ANKAR_+_190539389.23-P1P2	2068	2112	2985	1691	451	3327	1357	1345	107	1653
ANKAR_+_190539422.23-P1P2	2133	2699	1249	6256	1348	3143	1189	5467	250	1096
ANKAR_-_190539453.23-P1P2	4823	5921	4961	6990	4333	6647	3720	7063	4337	1954
ANKAR_-_190539475.23-P1P2	3940	5063	15698	3649	4704	1331	29772	1598	8285	1079
ANKAR_-_190539478.23-P1P2	1936	2508	2902	6305	8389	1344	3191	12898	14876	419
ANKEF1_+_10015769.23-P1P2	7553	7504	8690	5075	5165	5372	9821	3353	6056	4394
ANKEF1_+_10015902.23-P1P2	3367	3808	1739	469	588	847	398	201	119	158
ANKEF1_-_10015863.23-P1P2	1378	1804	1399	705	1572	862	605	192	505	807
ANKEF1_-_10015901.23-P1P2	5251	6072	26411	7068	14092	4037	36519	3747	32682	2931
ANKEF1_-_10015981.23-P1P2	5203	6010	8379	6785	4546	6983	7727	11362	7628	3692
ANKHD1-EIF4EBP3_+_139781466.23-P1P2	9775	11659	7859	9239	6449	17677	3885	6906	4598	6875
ANKHD1-EIF4EBP3_+_139781487.23-P1P2	5886	6778	4142	3566	6973	3177	3214	1957	3589	2015
ANKHD1-EIF4EBP3_-_139781396.23-P1P2	9152	10924	5518	8630	5321	4792	2658	4342	3533	1014
ANKHD1-EIF4EBP3_-_139781432.23-P1P2	11948	13512	13786	7864	17315	7033	13410	4101	15240	4578
ANKHD1-EIF4EBP3_-_139781454.23-P1P2	7328	9259	2389	6716	2269	7649	1350	4458	1134	3015
ANKHD1_+_139781466.23-P1P2	9775	11659	7859	9239	6449	17677	3885	6906	4598	6875
ANKHD1_+_139781487.23-P1P2	5886	6778	4142	3566	6973	3177	3214	1957	3589	2015
ANKHD1_-_139781396.23-P1P2	9152	10924	5518	8630	5321	4792	2658	4342	3533	1014
ANKHD1_-_139781432.23-P1P2	11948	13512	13786	7864	17315	7033	13410	4101	15240	4578
ANKHD1_-_139781454.23-P1P2	7328	9259	2389	6716	2269	7649	1350	4458	1134	3015
ANKRA2_+_72861375.23-P1P2	6039	6896	13634	8337	7560	6995	26186	3908	4237	1731
ANKRA2_+_72861391.23-P1P2	7540	9972	5191	5124	5031	5983	4106	3588	4126	4070
ANKRA2_+_72861474.23-P1P2	5619	7175	9114	6849	2148	12694	5282	11403	1094	5473
ANKRA2_-_72860844.23-P1P2	5184	5710	5387	3435	2599	2897	3593	2115	2094	2312
ANKRA2_-_72861421.23-P1P2	4340	5526	6766	2754	3206	949	5913	2042	2363	839
ANKRD10_+_111567378.23-P1P2	4664	5657	3476	4131	7672	2707	2181	3030	11177	3563
ANKRD10_-_111567331.23-P1P2	2205	3247	463	2672	365	1786	452	759	145	750
ANKRD10_-_111567334.23-P1P2	3513	4700	1167	3259	1298	3666	399	2172	426	2826
ANKRD10_-_111567397.23-P1P2	6290	6954	4977	2555	3515	3413	5424	1442	4666	570
ANKRD10_-_111567425.23-P1P2	6081	7965	5950	3148	4740	4537	2576	1534	2008	1612
ANKRD11_+_89556932.23-P1P2	5852	6855	2861	1585	2323	3131	1935	1570	179	5938
ANKRD11_-_89556762.23-P1P2	4800	6879	3761	3259	1276	3641	1283	1311	214	2071
ANKRD11_-_89556765.23-P1P2	3578	4517	1221	2399	177	6829	1222	1785	76	6690
ANKRD11_-_89556960.23-P1P2	7577	9823	3118	6400	3873	14874	1173	4992	7193	4523
ANKRD11_-_89556963.23-P1P2	4054	4861	2776	3621	1650	8532	1059	4723	530	2275
ANKRD16_+_5931814.23-P1P2	6947	7070	12225	11631	4321	5643	19572	9245	4224	4555
ANKRD16_+_5931865.23-P1P2	5002	6113	2806	3307	6382	1264	1810	2848	7531	1073
ANKRD16_-_5931624.23-P1P2	6261	8607	3420	5667	4868	32591	1833	8662	4085	76875
ANKRD16_-_5931751.23-P1P2	1239	1670	1752	137	5	86	1521	47	4	14
ANKRD16_-_5931761.23-P1P2	3947	4712	6206	1947	6881	6236	5699	1758	3139	3274
ANKRD17_+_74124315.23-P1P2	3669	5309	425	580	429	1678	188	106	93	897
ANKRD17_+_74124318.23-P1P2	3348	4532	3311	4354	584	2568	3253	1415	346	441
ANKRD17_+_74124492.23-P1P2	4556	5309	1818	2205	665	4128	1673	2207	414	5170
ANKRD17_+_74124498.23-P1P2	4887	5084	1156	3390	2175	2769	520	2457	3319	1078
ANKRD17_-_74124477.23-P1P2	4030	4873	2676	2444	8555	5251	2201	3452	12722	13752
ANKRD1_+_92680756.23-P1P2	3582	4852	4088	3002	6554	2781	7152	2938	9132	399
ANKRD1_+_92680777.23-P1P2	5903	7824	13977	7626	4839	8225	21435	5980	2409	4931
ANKRD1_+_92680828.23-P1P2	297	436	22	432	24	114	1	621	1	35
ANKRD1_+_92680850.23-P1P2	4312	5785	5412	4801	2722	13900	3950	2115	631	11304
ANKRD1_+_92680855.23-P1P2	4333	4966	3125	2887	2336	2321	1181	8144	882	1026
ANKRD22_+_90611389.23-P1P2	4850	6277	4899	8312	4073	14920	8003	8708	4047	15323
ANKRD22_+_90611514.23-P1P2	4281	4992	5594	2291	2866	8250	3092	972	3037	5376
ANKRD22_-_90611355.23-P1P2	9096	11122	6584	6612	8288	10137	5024	4048	5977	2941
ANKRD22_-_90611483.23-P1P2	1710	2719	754	2703	832	9026	550	2885	272	5483
ANKRD22_-_90611584.23-P1P2	2498	3721	459	2431	1046	3327	106	1575	469	759
ANKRD42_+_82904853.23-P1P2	4731	5725	2610	4967	5063	2529	976	3074	3379	1013
ANKRD42_+_82905009.23-P1P2	5229	6699	5065	7576	11033	6071	2575	6167	8289	5440
ANKRD42_+_82905273.23-P1P2	2718	3005	2331	1285	3023	1847	2871	563	2855	489
ANKRD42_-_82904842.23-P1P2	4450	6082	1987	5912	2570	5834	411	3326	1338	3521
ANKRD42_-_82904846.23-P1P2	3178	3988	8066	3272	4464	1797	11444	3075	2635	464
ANKRD44_+_198051730.23-ENST00000450567.1	4776	4761	6057	1257	8609	2641	5414	626	11954	2042
ANKRD44_+_198051790.23-ENST00000450567.1	5434	6016	5150	6842	5734	2294	5031	4142	7887	1093
ANKRD44_+_198051801.23-ENST00000450567.1	4392	5808	3787	5344	3697	5471	2279	3091	2076	2545
ANKRD44_-_198051829.23-ENST00000450567.1	3616	4215	3608	3601	12072	3623	3195	1547	22093	1280
ANKRD44_-_198051850.23-ENST00000450567.1	1051	1460	916	2724	223	1768	1932	946	153	1458
ANKRD44_-_198062808.23-ENST00000328737.2	3461	4301	3998	3027	3861	5258	2581	1561	2379	10858
ANKRD44_-_198062813.23-ENST00000328737.2	5055	7387	11705	5573	36767	5924	10948	4038	185058	2470
ANKRD44_-_198062819.23-ENST00000328737.2	8796	11125	5506	8458	4038	23774	3612	11184	1487	22951
ANKRD44_-_198062864.23-ENST00000328737.2	5414	7403	3033	7135	2933	6296	1304	5114	657	1680
ANKRD44_-_198062882.23-ENST00000328737.2	3761	4511	5488	5575	1623	26446	4833	5062	248	26876
ANKRD46_+_101571915.23-P1P2	7830	9246	6777	3746	8844	5958	4961	2215	11062	2860
ANKRD46_-_101571922.23-P1P2	6965	9925	2916	6024	2262	14271	521	7434	1495	4773
ANKRD46_-_101571968.23-P1P2	7475	9548	6437	5496	4762	15093	5414	4940	2398	9658
ANKRD46_-_101571982.23-P1P2	5335	7023	5883	4818	1468	1847	3014	4987	826	987
ANKRD46_-_101571992.23-P1P2	3182	3721	4126	3240	11406	1037	7013	4600	8777	1001
ANKRD49_+_94226755.23-P1P2	4793	6621	1290	1951	1777	714	569	831	607	61
ANKRD49_+_94227189.23-P1P2	5592	6588	6606	1799	1332	1619	5057	766	624	476
ANKRD49_-_94226994.23-P1P2	1031	1244	849	53	505	59	269	5	146	0
ANKRD49_-_94227163.23-P1P2	7899	9850	3253	8212	3002	6419	2521	11397	1191	1839
ANKRD49_-_94227181.23-P1P2	5016	5462	2743	3851	1999	2295	1312	4889	941	534
