	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
0Safe_safe_MP_204550.1247	1828	1505	1784	2107	961	2614	382	3578
0Safe_safe_MP_204550.1248	3003	2612	2649	2613	3162	1985	2162	1898
0Safe_safe_MP_204550.1249	1144	898	521	1362	414	1003	274	409
0Safe_safe_MP_204550.1250	1907	1810	1465	2119	2567	2667	2708	1620
0Safe_safe_MP_204550.1251	864	480	862	258	1212	141	569	103
0Safe_safe_MP_204550.1252	1999	1273	1386	1251	1572	1118	1639	844
0Safe_safe_MP_204550.1253	3259	3218	4103	3302	5910	2031	5987	1256
0Safe_safe_MP_204550.1254	2027	1632	1215	679	894	655	612	397
0Safe_safe_MP_204550.1255	1630	1954	1263	1687	921	1484	1554	976
0Safe_safe_MP_204550.1256	2800	2087	3258	2616	4320	2619	5069	1152
0Safe_safe_MP_204550.1257	5340	4849	6058	5702	3969	7208	4080	4919
0Safe_safe_MP_204550.1258	2352	1870	928	1559	929	1915	1026	1145
0Safe_safe_MP_204550.1259	2289	1826	2538	2650	2435	2042	1585	1024
0Safe_safe_MP_204550.1260	497	479	1720	893	2946	928	2843	1499
0Safe_safe_MP_204550.1261	2670	2525	2666	1980	2672	1776	2110	586
0Safe_safe_MP_204550.1262	1026	1356	235	996	411	637	110	222
0Safe_safe_MP_204550.1263	2922	2428	1695	2843	1178	1330	937	1103
0Safe_safe_MP_204550.1264	1546	1485	747	1489	514	926	646	1238
0Safe_safe_MP_204550.1265	4761	3859	3507	3316	2998	3193	2327	4677
0Safe_safe_MP_204550.1266	2414	2230	2979	1896	1739	3147	832	1888
0Safe_safe_MP_204550.1267	4461	3807	2762	3250	3245	2139	2620	1850
0Safe_safe_MP_204550.1268	1887	2069	1976	2375	1556	2536	1149	2936
0Safe_safe_MP_204550.1269	859	638	654	410	446	664	594	285
0Safe_safe_MP_204550.1270	3316	3461	2514	3423	1292	3046	1747	2807
0Safe_safe_MP_204550.1271	5686	5308	3783	5294	1938	4448	1750	3168
0Safe_safe_MP_204550.1272	1706	1285	2074	1974	987	1228	676	1046
0Safe_safe_MP_204550.1273	4330	3231	4749	2399	4876	1770	4857	1490
0Safe_safe_MP_204550.1274	4760	3829	5559	3140	5391	2345	8103	3743
0Safe_safe_MP_204550.1275	2803	2372	681	2867	802	2940	545	2317
0Safe_safe_MP_204550.1276	1733	1270	1949	1203	957	1373	997	1703
0Safe_safe_MP_204550.1277	994	875	640	933	1189	1298	2881	568
0Safe_safe_MP_204550.1278	4763	3895	3856	5165	3839	4978	3965	4125
0Safe_safe_MP_204550.1279	3445	3509	3504	2987	1602	3040	1428	3025
0Safe_safe_MP_204550.1280	746	1008	459	1204	203	818	763	593
0Safe_safe_MP_204550.1281	4222	2488	4771	3486	3861	3020	3642	3882
0Safe_safe_MP_204550.1282	1409	1652	1790	1408	2041	860	1675	519
0Safe_safe_MP_204550.1283	1783	1552	1921	1130	1745	1105	2318	614
0Safe_safe_MP_204550.1284	1620	1455	2369	1472	2358	598	1790	566
0Safe_safe_MP_204550.1285	3767	3320	4898	2734	5486	2088	7547	1867
0Safe_safe_MP_204550.1286	4317	3762	4655	2709	3985	2397	4499	2136
0Safe_safe_MP_204550.1287	1129	903	674	1239	397	848	109	349
0Safe_safe_MP_204550.1288	3543	2581	4016	1850	2410	1227	1706	1067
0Safe_safe_MP_204550.1289	3040	2793	1938	3827	1910	6708	2147	6945
0Safe_safe_MP_204550.1290	5168	4446	3410	6094	4950	9313	7165	8770
0Safe_safe_MP_204550.1291	1133	1091	1496	2383	1376	1890	1239	743
0Safe_safe_MP_204550.1292	1122	649	695	554	1491	1126	1999	712
0Safe_safe_MP_204550.1293	1777	1500	2217	1082	1628	1010	1824	450
0Safe_safe_MP_204550.1294	2566	2208	3133	2071	3685	1744	5391	1559
0Safe_safe_MP_204550.1295	2635	2213	2143	2561	1903	2352	2271	2495
0Safe_safe_MP_204550.1296	4756	4031	5213	4255	4157	3804	3266	4502
0Safe_safe_MP_204550.1297	4254	3883	4181	4782	2625	5373	2835	3690
0Safe_safe_MP_204550.1298	1778	1459	2413	1700	1617	1323	1628	1333
0Safe_safe_MP_204550.1299	2873	2941	2438	3109	1655	3729	1350	2087
0Safe_safe_MP_204550.1300	3846	3712	2990	4259	1655	3246	2461	2500
0Safe_safe_MP_204550.1301	340	506	229	418	162	388	124	256
0Safe_safe_MP_204550.1302	2156	2622	1294	2681	1283	2690	1466	2819
0Safe_safe_MP_204550.1303	2529	2161	1897	1980	1694	1746	1125	1284
0Safe_safe_MP_204550.1304	3420	3272	2277	2377	3085	1538	3376	924
0Safe_safe_MP_204550.1305	5587	4867	3552	5572	3087	6331	2591	6095
0Safe_safe_MP_204550.1306	649	216	272	258	339	176	864	82
0Safe_safe_MP_204550.1307	1780	1986	1291	1716	997	1315	817	816
0Safe_safe_MP_204550.1308	3064	2825	4212	2821	3623	3320	3003	3619
0Safe_safe_MP_204550.1309	3606	2976	3267	3131	2953	2786	1960	2894
0Safe_safe_MP_204550.1310	3597	2522	2551	2448	2505	1899	2006	926
0Safe_safe_MP_204550.1311	1319	1213	2554	1174	2596	747	3096	824
0Safe_safe_MP_204550.1312	609	796	711	586	621	422	1596	399
0Safe_safe_MP_204550.1313	4008	3218	3680	4449	4186	5906	4071	4828
0Safe_safe_MP_204550.1314	4883	5136	3645	5121	4327	5595	4142	5488
0Safe_safe_MP_204550.1315	2108	1438	1776	1153	1361	1408	2298	1329
0Safe_safe_MP_204550.1316	341	218	87	128	59	24	1	66
0Safe_safe_MP_204550.1317	4438	3842	3789	4895	2394	4308	4862	3007
0Safe_safe_MP_204550.1318	1046	959	1152	1560	789	3055	191	2389
0Safe_safe_MP_204550.1319	1930	1263	1719	1844	2428	2172	1275	1723
0Safe_safe_MP_204550.1320	6271	6006	5598	4825	5747	4681	5544	3927
0Safe_safe_MP_204550.1321	4628	3763	2378	4064	1722	4225	2318	4607
0Safe_safe_MP_204550.1322	2026	1842	2398	2314	2343	2545	1743	2747
0Safe_safe_MP_204550.1323	3843	3711	3144	4084	2384	4498	3250	4416
0Safe_safe_MP_204550.1324	1402	1443	1669	881	1211	512	1029	255
0Safe_safe_MP_204550.1325	3132	2476	2450	2375	2478	1098	3477	789
0Safe_safe_MP_204550.1326	3117	2561	3445	2171	4702	2421	6498	1911
0Safe_safe_MP_204550.1327	3128	2713	1557	2789	1718	2121	1508	1301
0Safe_safe_MP_204550.1328	2560	2140	3910	2302	3030	2151	2909	1082
0Safe_safe_MP_204550.1329	527	594	601	432	856	774	1061	446
0Safe_safe_MP_204550.1330	8121	7334	5492	6282	5724	4519	6180	6426
0Safe_safe_MP_204550.1331	5804	4486	4697	5135	5350	3788	4352	4198
0Safe_safe_MP_204550.1332	1466	1000	804	1065	796	934	79	1060
0Safe_safe_MP_204550.1333	1798	1380	926	853	1051	690	622	288
0Safe_safe_MP_204550.1334	1291	1350	2465	1429	3001	1803	2860	1129
0Safe_safe_MP_204550.1335	4587	4647	4946	5926	6169	4910	6703	3660
0Safe_safe_MP_204550.1336	1450	1179	3059	1455	3636	923	2823	601
0Safe_safe_MP_204550.1337	4012	3477	4566	3804	5416	3582	5953	5815
0Safe_safe_MP_204550.1338	2895	2156	3961	2574	3225	1513	3521	1438
0Safe_safe_MP_204550.1339	3836	2382	3140	3008	2567	1770	1677	1626
0Safe_safe_MP_204550.1340	1959	2335	1519	1763	1699	2808	2707	1751
0Safe_safe_MP_204550.1341	7305	4936	4883	6904	5296	4958	6368	7312
0Safe_safe_MP_204550.1342	3073	3020	2558	3032	2646	3211	2495	3697
0Safe_safe_MP_204550.1343	1960	2135	1418	1266	2291	724	1627	343
0Safe_safe_MP_204550.1344	1800	1370	939	1885	1275	1680	1349	2559
0Safe_safe_MP_204550.1345	4320	3810	4058	4556	3913	6297	3926	8492
0Safe_safe_MP_204550.1346	1985	1663	2027	1319	1550	2231	1624	1949
